#index	label	wavelength	comment
345	Ni14            0 		net cooling due to database species
346	Ni15            0 		net cooling due to database species
347	Ni16            0 		net cooling due to database species
348	Ni17            0 		net cooling due to database species
349	Ni18            0 		net cooling due to database species
350	Ni19            0 		net cooling due to database species
351	Ni 2            0 		net cooling due to database species
352	Ni20            0 		net cooling due to database species
353	Ni21            0 		net cooling due to database species
354	Ni22            0 		net cooling due to database species
355	Ni23            0 		net cooling due to database species
356	Ni24            0 		net cooling due to database species
357	Ni25            0 		net cooling due to database species
358	Ni26            0 		net cooling due to database species
359	O  3            0 		net cooling due to database species
360	O  4            0 		net cooling due to database species
361	O  5            0 		net cooling due to database species
362	O  6            0 		net cooling due to database species
363	P 10            0 		net cooling due to database species
364	P 11            0 		net cooling due to database species
365	P 12            0 		net cooling due to database species
366	P 13            0 		net cooling due to database species
367	P  5            0 		net cooling due to database species
368	P  7            0 		net cooling due to database species
369	P  8            0 		net cooling due to database species
370	P  9            0 		net cooling due to database species
371	S 10            0 		net cooling due to database species
372	S 11            0 		net cooling due to database species
373	S 12            0 		net cooling due to database species
374	S 13            0 		net cooling due to database species
375	S 14            0 		net cooling due to database species
376	S  4            0 		net cooling due to database species
377	S  5            0 		net cooling due to database species
378	S  6            0 		net cooling due to database species
379	S  7            0 		net cooling due to database species
380	S  8            0 		net cooling due to database species
381	S  9            0 		net cooling due to database species
382	Si10            0 		net cooling due to database species
383	Si11            0 		net cooling due to database species
384	Si12            0 		net cooling due to database species
385	Si 5            0 		net cooling due to database species
386	Si 6            0 		net cooling due to database species
387	Si 8            0 		net cooling due to database species
388	Ti11            0 		net cooling due to database species
389	Ti12            0 		net cooling due to database species
390	Ti14            0 		net cooling due to database species
391	Ti15            0 		net cooling due to database species
392	Ti16            0 		net cooling due to database species
393	Ti17            0 		net cooling due to database species
394	Ti18            0 		net cooling due to database species
395	Ti19            0 		net cooling due to database species
396	Ti20            0 		net cooling due to database species
397	Zn20            0 		net cooling due to database species
398	Zn23            0 		net cooling due to database species
399	Zn24            0 		net cooling due to database species
400	Zn25            0 		net cooling due to database species
401	Zn27            0 		net cooling due to database species
402	Zn28            0 		net cooling due to database species
####	continua.............................
404	Bac       3646.00A		residual flux at head of Balmer continuum, nuFnu 
405	nFnu      3645.00A		total flux above head of Balmer continuum, nuFnu 
406	nFnu      3647.00A		total flux above head of Balmer continuum, nuFnu 
407	cout      3646.00A		residual flux in Balmer continuum, nuFnu 
408	cref      3646.00A		residual flux in Balmer continuum, nuFnu 
409	thin      3646.00A		residual flux in Balmer continuum, nuFnu 
410	Inci      4860.00A		incident continuum nu*f_nu at H-beta, at illuminated face of cloud 
411	Inci      1215.00A		incident continuum nu*f_nu near Ly-alpha, at illuminated face of cloud
412	Ba C            0 		integrated Balmer continuum emission
413	PA C            0 		Paschen continuum emission 
414	FIR       83.0000m		continuum bands defined in continuum_bands.ini
415	TIR       1800.00m		continuum bands defined in continuum_bands.ini
416	NIRa      2.85000m		continuum bands defined in continuum_bands.ini
